ID,Country,Year,Attack Type,Target Industry,Financial Loss ($M),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Used,Resolution Time (Hr)
CBS-693,Brazil,2022,Man-in-the-Middle,Banking,59.4,121504,Insider,Weak Passwords,AI-based Detection,32
CBS-694,France,2018,DDoS,Banking,50.8,670630,Nation-state,Zero-day,Antivirus,4
CBS-695,China,2024,Ransomware,Banking,72.2,277175,Insider,Social Engineering,Firewall,72
CBS-696,USA,2016,Man-in-the-Middle,Retail,23.4,952463,Nation-state,Unpatched Software,Antivirus,26
CBS-697,UK,2020,DDoS,Government,78.3,624619,Unknown,Weak Passwords,AI-based Detection,67
CBS-698,China,2018,Phishing,Healthcare,20.2,363934,Insider,Weak Passwords,Firewall,24
CBS-699,Japan,2017,SQL Injection,IT,33.2,44750,Unknown,Unpatched Software,Firewall,22
CBS-700,UK,2021,DDoS,Banking,8.8,736601,Nation-state,Zero-day,AI-based Detection,26
CBS-701,Japan,2018,Ransomware,Education,43.3,42876,Unknown,Unpatched Software,Antivirus,40
CBS-702,Australia,2018,DDoS,Healthcare,90.4,536357,Nation-state,Weak Passwords,Encryption,55
CBS-703,USA,2017,Phishing,Government,55.3,785099,Insider,Social Engineering,Encryption,29
CBS-704,France,2019,DDoS,Healthcare,27.9,460544,Unknown,Weak Passwords,Firewall,29
CBS-705,France,2020,Ransomware,Education,66.0,881755,Unknown,Zero-day,Firewall,10
CBS-706,India,2024,SQL Injection,Telecommunications,10.2,213393,Unknown,Social Engineering,Encryption,49
CBS-707,UK,2017,Man-in-the-Middle,Telecommunications,43.8,213979,Hacker Group,Unpatched Software,Firewall,10
CBS-708,UK,2021,Malware,Telecommunications,3.2,570243,Insider,Unpatched Software,Antivirus,51
CBS-709,Brazil,2016,Malware,Government,72.7,47624,Nation-state,Weak Passwords,Firewall,70
CBS-710,China,2024,Man-in-the-Middle,Banking,16.1,72940,Nation-state,Zero-day,VPN,26
CBS-711,Japan,2020,Malware,Telecommunications,98.1,710142,Insider,Zero-day,AI-based Detection,56
CBS-712,Japan,2023,Malware,Retail,51.9,360524,Hacker Group,Unpatched Software,Firewall,47
CBS-713,France,2017,Phishing,IT,55.9,309259,Insider,Zero-day,AI-based Detection,3
CBS-714,UK,2024,Phishing,Government,30.7,393201,Nation-state,Social Engineering,Firewall,3
CBS-715,Germany,2020,Ransomware,IT,65.2,306799,Unknown,Zero-day,Encryption,61
CBS-716,Russia,2022,Malware,Healthcare,81.9,30180,Insider,Weak Passwords,AI-based Detection,53
CBS-717,India,2017,Phishing,Retail,97.9,113745,Unknown,Unpatched Software,Encryption,2
CBS-718,Japan,2024,Ransomware,Banking,24.2,584428,Nation-state,Weak Passwords,Firewall,34
CBS-719,France,2020,Ransomware,Healthcare,3.3,178268,Nation-state,Unpatched Software,Antivirus,2
CBS-720,China,2022,Phishing,Retail,33.7,338578,Unknown,Social Engineering,AI-based Detection,38
CBS-721,China,2024,DDoS,Healthcare,7.3,972407,Hacker Group,Zero-day,Encryption,51
CBS-722,Brazil,2022,Ransomware,Banking,15.7,817169,Insider,Unpatched Software,Firewall,54
CBS-723,Australia,2015,Malware,Healthcare,62.3,796100,Hacker Group,Social Engineering,AI-based Detection,20
CBS-724,UK,2016,Man-in-the-Middle,Banking,76.1,530253,Unknown,Weak Passwords,Encryption,28
CBS-725,Australia,2024,Man-in-the-Middle,Government,50.4,165496,Nation-state,Weak Passwords,Encryption,72
CBS-726,Russia,2021,Ransomware,Banking,34.9,501490,Insider,Social Engineering,Firewall,44
CBS-727,India,2016,Malware,Banking,11.8,392365,Insider,Social Engineering,Antivirus,72
CBS-728,China,2022,Malware,Education,96.7,194617,Insider,Social Engineering,Antivirus,31
CBS-729,Japan,2022,Man-in-the-Middle,Retail,44.3,516125,Unknown,Zero-day,Firewall,67
CBS-730,Australia,2021,Man-in-the-Middle,Telecommunications,67.7,393335,Hacker Group,Social Engineering,Antivirus,31
CBS-731,UK,2018,SQL Injection,Government,34.1,197436,Unknown,Zero-day,Antivirus,10
CBS-732,France,2022,DDoS,Education,31.5,452360,Nation-state,Zero-day,Antivirus,65
CBS-733,Australia,2018,DDoS,Healthcare,20.4,913090,Unknown,Zero-day,VPN,2
CBS-734,Germany,2018,SQL Injection,Telecommunications,38.7,368222,Insider,Zero-day,VPN,56
CBS-735,India,2022,SQL Injection,Healthcare,77.3,826937,Unknown,Zero-day,AI-based Detection,64
CBS-736,Brazil,2015,Ransomware,Retail,89.9,673959,Hacker Group,Zero-day,Firewall,39
CBS-737,UK,2022,Ransomware,Education,4.3,383246,Nation-state,Unpatched Software,VPN,45
CBS-738,UK,2019,Man-in-the-Middle,Banking,76.0,422890,Insider,Social Engineering,VPN,4
CBS-739,Australia,2020,Malware,Banking,42.3,497035,Hacker Group,Zero-day,AI-based Detection,66
CBS-740,Brazil,2023,Phishing,Government,72.6,720220,Unknown,Weak Passwords,Firewall,71
CBS-741,Russia,2019,Phishing,Government,93.7,808318,Nation-state,Social Engineering,Antivirus,57
CBS-742,Germany,2022,SQL Injection,IT,68.6,294981,Unknown,Zero-day,AI-based Detection,3
CBS-743,USA,2017,Phishing,Healthcare,52.7,281182,Nation-state,Zero-day,Encryption,27
CBS-744,Australia,2017,Ransomware,Education,66.6,95750,Nation-state,Zero-day,Antivirus,44
CBS-745,Brazil,2015,Ransomware,Retail,91.0,879260,Hacker Group,Social Engineering,Antivirus,16
CBS-746,Russia,2017,Man-in-the-Middle,IT,14.7,561615,Hacker Group,Weak Passwords,Antivirus,29
CBS-747,Brazil,2016,SQL Injection,Retail,40.3,206598,Unknown,Zero-day,Encryption,45
CBS-748,Brazil,2017,Man-in-the-Middle,IT,56.8,171305,Unknown,Unpatched Software,Firewall,54
CBS-749,Russia,2024,SQL Injection,Government,63.5,492909,Unknown,Zero-day,AI-based Detection,42
CBS-750,UK,2021,Man-in-the-Middle,IT,72.6,477493,Hacker Group,Unpatched Software,Encryption,16
CBS-751,Japan,2021,Phishing,Government,22.9,622723,Nation-state,Weak Passwords,AI-based Detection,67
CBS-752,Australia,2016,Malware,Healthcare,80.2,124155,Nation-state,Weak Passwords,Encryption,40
CBS-753,China,2024,Malware,Retail,34.5,897277,Unknown,Zero-day,VPN,55
CBS-754,USA,2017,SQL Injection,Healthcare,51.3,28682,Hacker Group,Zero-day,VPN,44
CBS-755,Japan,2020,Phishing,Banking,73.0,512431,Nation-state,Unpatched Software,VPN,44
CBS-756,Australia,2018,SQL Injection,IT,19.1,171977,Unknown,Zero-day,Antivirus,44
CBS-757,UK,2015,SQL Injection,Telecommunications,38.7,943070,Hacker Group,Zero-day,VPN,36
CBS-758,Japan,2021,DDoS,Education,14.9,887855,Nation-state,Zero-day,AI-based Detection,7
CBS-759,USA,2018,Ransomware,Retail,54.1,535110,Nation-state,Zero-day,Antivirus,2
CBS-760,USA,2021,Man-in-the-Middle,Telecommunications,42.3,817386,Nation-state,Zero-day,Firewall,8
CBS-761,India,2018,Phishing,Banking,96.6,206552,Nation-state,Weak Passwords,Encryption,13
CBS-762,Brazil,2020,Man-in-the-Middle,Education,71.4,154966,Hacker Group,Zero-day,Antivirus,19
CBS-763,France,2016,Phishing,Banking,54.5,511287,Unknown,Unpatched Software,Antivirus,34
CBS-764,Germany,2023,SQL Injection,Banking,94.5,426499,Unknown,Unpatched Software,VPN,37
CBS-765,UK,2016,Man-in-the-Middle,Telecommunications,73.6,15907,Hacker Group,Social Engineering,Antivirus,36
CBS-766,UK,2022,Phishing,Education,36.2,375734,Nation-state,Weak Passwords,AI-based Detection,31
CBS-767,Brazil,2023,Malware,Government,19.2,993826,Unknown,Zero-day,Firewall,7
CBS-768,India,2023,Ransomware,Banking,83.2,397813,Nation-state,Social Engineering,Antivirus,12
CBS-769,France,2024,Ransomware,Banking,71.0,185001,Insider,Zero-day,VPN,3
CBS-770,Japan,2024,DDoS,IT,8.0,805548,Insider,Unpatched Software,Antivirus,10
CBS-771,Brazil,2015,SQL Injection,Retail,74.7,562552,Nation-state,Unpatched Software,Encryption,37
CBS-772,Brazil,2018,Malware,Education,33.1,724513,Nation-state,Zero-day,VPN,46
CBS-773,UK,2024,SQL Injection,Telecommunications,54.1,715395,Unknown,Social Engineering,VPN,60
CBS-774,France,2020,Ransomware,Telecommunications,75.1,177097,Unknown,Unpatched Software,Encryption,15
CBS-775,Australia,2020,Man-in-the-Middle,Banking,56.3,407084,Unknown,Unpatched Software,Firewall,11
CBS-776,UK,2023,Phishing,Healthcare,23.7,889641,Hacker Group,Social Engineering,AI-based Detection,50
CBS-777,USA,2019,SQL Injection,IT,17.8,378105,Unknown,Weak Passwords,Encryption,4
CBS-778,Germany,2020,SQL Injection,Education,44.0,597987,Hacker Group,Weak Passwords,Encryption,50
CBS-779,USA,2018,Malware,Education,77.1,10600,Insider,Social Engineering,Firewall,47
CBS-780,France,2016,SQL Injection,Healthcare,10.8,586784,Hacker Group,Weak Passwords,Encryption,26
CBS-781,India,2023,SQL Injection,Banking,48.5,421083,Insider,Unpatched Software,AI-based Detection,28
CBS-782,Australia,2023,Ransomware,Education,94.9,127127,Unknown,Social Engineering,Encryption,47
CBS-783,China,2016,Malware,Government,15.9,668188,Insider,Unpatched Software,AI-based Detection,38
CBS-784,Japan,2018,SQL Injection,Education,11.3,433618,Hacker Group,Social Engineering,Antivirus,59
CBS-785,Germany,2023,Malware,Telecommunications,3.9,51176,Unknown,Social Engineering,Encryption,61
CBS-786,Germany,2016,SQL Injection,IT,34.4,918452,Unknown,Weak Passwords,AI-based Detection,16
CBS-787,Germany,2023,Ransomware,Healthcare,84.9,152814,Nation-state,Social Engineering,AI-based Detection,33
CBS-788,USA,2017,Man-in-the-Middle,Retail,74.6,502149,Hacker Group,Weak Passwords,AI-based Detection,29
CBS-789,USA,2019,Ransomware,Healthcare,89.8,46960,Nation-state,Zero-day,AI-based Detection,16
CBS-790,Brazil,2017,SQL Injection,Government,40.7,651335,Insider,Weak Passwords,Encryption,21
CBS-791,Brazil,2018,DDoS,Telecommunications,69.8,587034,Hacker Group,Weak Passwords,AI-based Detection,35
CBS-792,France,2015,Man-in-the-Middle,Healthcare,79.6,856278,Hacker Group,Zero-day,Firewall,71
CBS-793,China,2022,DDoS,Banking,79.1,880586,Hacker Group,Unpatched Software,VPN,56
CBS-794,USA,2019,DDoS,Government,81.6,78873,Hacker Group,Weak Passwords,Encryption,27
CBS-795,Australia,2017,DDoS,Banking,62.8,810106,Hacker Group,Weak Passwords,Encryption,66
CBS-796,Germany,2021,DDoS,Government,28.7,937384,Hacker Group,Unpatched Software,Encryption,67
CBS-797,Japan,2023,Man-in-the-Middle,Retail,36.7,231307,Unknown,Zero-day,Encryption,4
CBS-798,China,2016,DDoS,IT,71.8,816710,Hacker Group,Weak Passwords,VPN,60
CBS-799,USA,2019,Man-in-the-Middle,Telecommunications,17.2,896828,Unknown,Weak Passwords,Firewall,33
CBS-800,UK,2016,DDoS,Telecommunications,48.5,937466,Hacker Group,Social Engineering,AI-based Detection,28
CBS-801,China,2020,DDoS,Banking,11.7,81518,Nation-state,Social Engineering,VPN,47
CBS-802,Brazil,2015,Malware,IT,1.4,371048,Hacker Group,Zero-day,VPN,56
CBS-803,USA,2019,Phishing,IT,20.1,25946,Hacker Group,Weak Passwords,AI-based Detection,68
CBS-804,France,2017,Man-in-the-Middle,Education,15.0,942088,Insider,Zero-day,AI-based Detection,46
CBS-805,Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68
CBS-806,USA,2018,SQL Injection,Government,99.5,755576,Insider,Weak Passwords,AI-based Detection,23
CBS-807,Brazil,2018,Malware,Education,6.3,661644,Insider,Social Engineering,AI-based Detection,29
CBS-808,UK,2019,DDoS,Telecommunications,95.8,168951,Insider,Social Engineering,VPN,13
CBS-809,Russia,2022,Man-in-the-Middle,IT,49.9,816398,Insider,Social Engineering,Encryption,39
CBS-810,India,2017,DDoS,Education,83.5,79933,Hacker Group,Zero-day,AI-based Detection,23
CBS-811,USA,2019,Malware,Government,83.8,506149,Nation-state,Social Engineering,Encryption,35
CBS-812,Japan,2021,Phishing,Retail,81.3,245015,Nation-state,Zero-day,Firewall,41
CBS-813,Japan,2017,SQL Injection,Banking,66.8,966993,Hacker Group,Social Engineering,VPN,64
CBS-814,Australia,2016,Malware,Education,88.9,235062,Nation-state,Weak Passwords,Firewall,32
CBS-815,Brazil,2022,Phishing,Healthcare,75.1,132520,Unknown,Zero-day,Antivirus,56
CBS-816,Germany,2016,SQL Injection,Retail,56.6,869605,Unknown,Social Engineering,VPN,51
CBS-817,USA,2017,Phishing,Banking,96.3,637264,Hacker Group,Unpatched Software,AI-based Detection,11
CBS-818,Russia,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1
CBS-819,Brazil,2021,DDoS,Education,69.4,666096,Hacker Group,Zero-day,Encryption,9
CBS-820,India,2021,SQL Injection,Telecommunications,68.9,851981,Nation-state,Zero-day,AI-based Detection,57
CBS-821,Australia,2024,Phishing,Banking,15.0,214740,Nation-state,Unpatched Software,Encryption,57
CBS-822,Brazil,2016,Phishing,Government,35.9,372653,Hacker Group,Weak Passwords,VPN,60
CBS-823,India,2024,Phishing,Banking,64.2,903871,Nation-state,Unpatched Software,Encryption,17
CBS-824,India,2015,Malware,Education,64.3,924049,Nation-state,Social Engineering,VPN,5
CBS-825,Australia,2020,Malware,Government,98.1,193983,Nation-state,Zero-day,Antivirus,31
CBS-826,Russia,2021,Ransomware,Telecommunications,11.0,904330,Nation-state,Weak Passwords,VPN,49
CBS-827,India,2018,SQL Injection,Education,52.1,874254,Nation-state,Zero-day,Antivirus,11
CBS-828,Germany,2020,Man-in-the-Middle,Healthcare,28.8,691190,Nation-state,Unpatched Software,Firewall,27
CBS-829,China,2024,DDoS,IT,61.4,412245,Nation-state,Social Engineering,Encryption,48
CBS-830,France,2021,Man-in-the-Middle,Healthcare,53.8,302180,Insider,Weak Passwords,AI-based Detection,11
CBS-831,USA,2016,Ransomware,Government,8.2,537592,Nation-state,Social Engineering,Antivirus,11
CBS-832,Brazil,2022,SQL Injection,Retail,25.9,632061,Nation-state,Zero-day,Antivirus,2
CBS-833,Brazil,2015,DDoS,Retail,67.5,224815,Nation-state,Social Engineering,Firewall,32
CBS-834,India,2022,DDoS,IT,23.9,169310,Unknown,Weak Passwords,Encryption,36
CBS-835,Japan,2023,Man-in-the-Middle,Telecommunications,87.0,635827,Nation-state,Social Engineering,Encryption,72
CBS-836,UK,2022,Ransomware,IT,63.7,560021,Unknown,Zero-day,Encryption,43
CBS-837,Japan,2021,Man-in-the-Middle,Government,61.0,768506,Nation-state,Zero-day,AI-based Detection,11
CBS-838,Australia,2018,Phishing,Healthcare,39.9,755469,Hacker Group,Social Engineering,Antivirus,58
CBS-839,India,2022,Ransomware,Retail,74.1,205336,Hacker Group,Social Engineering,AI-based Detection,2
CBS-840,France,2020,DDoS,IT,7.5,957779,Nation-state,Social Engineering,Encryption,17
CBS-841,UK,2017,Malware,Education,29.5,85644,Hacker Group,Social Engineering,AI-based Detection,3
CBS-842,France,2019,Man-in-the-Middle,Telecommunications,76.0,561713,Insider,Unpatched Software,Firewall,31
CBS-843,Germany,2017,Phishing,Healthcare,53.6,287762,Insider,Weak Passwords,Encryption,13
CBS-844,India,2015,Phishing,Healthcare,76.1,471550,Unknown,Zero-day,VPN,5
CBS-845,Japan,2018,SQL Injection,IT,69.2,33209,Insider,Unpatched Software,AI-based Detection,66
CBS-846,China,2017,Phishing,Retail,45.8,395251,Unknown,Unpatched Software,Encryption,33
CBS-847,Germany,2019,DDoS,IT,14.8,491791,Hacker Group,Zero-day,Encryption,66
CBS-848,Australia,2016,Phishing,Healthcare,53.8,279874,Hacker Group,Unpatched Software,AI-based Detection,66
CBS-849,France,2019,Malware,IT,71.9,881326,Insider,Unpatched Software,Firewall,43
CBS-850,UK,2023,DDoS,IT,68.9,749700,Nation-state,Zero-day,AI-based Detection,35
CBS-851,UK,2022,Phishing,Government,97.6,722445,Nation-state,Weak Passwords,Firewall,10
CBS-852,USA,2023,Ransomware,Government,84.1,695841,Nation-state,Zero-day,AI-based Detection,21
CBS-853,USA,2020,SQL Injection,Government,41.0,803757,Hacker Group,Social Engineering,Firewall,33
CBS-854,Japan,2022,DDoS,IT,20.2,174510,Insider,Zero-day,AI-based Detection,60
CBS-855,Germany,2022,SQL Injection,Retail,11.5,857660,Hacker Group,Zero-day,VPN,37
CBS-856,UK,2020,SQL Injection,Banking,47.7,729265,Unknown,Zero-day,Firewall,42
CBS-857,India,2023,Phishing,Retail,38.9,836604,Hacker Group,Unpatched Software,AI-based Detection,44
CBS-858,China,2016,Malware,Government,91.7,885843,Insider,Unpatched Software,AI-based Detection,46
CBS-859,France,2015,Man-in-the-Middle,Education,17.9,808798,Unknown,Social Engineering,Encryption,60
CBS-860,Russia,2018,Man-in-the-Middle,Telecommunications,30.5,401208,Hacker Group,Unpatched Software,VPN,10
CBS-861,Japan,2021,Ransomware,Healthcare,77.3,380970,Nation-state,Weak Passwords,Encryption,44
CBS-862,USA,2021,Phishing,Healthcare,70.0,248437,Hacker Group,Social Engineering,Encryption,70
CBS-863,Australia,2024,SQL Injection,Retail,66.5,709125,Hacker Group,Weak Passwords,AI-based Detection,37
CBS-864,Japan,2018,Malware,Education,5.3,656250,Hacker Group,Social Engineering,Firewall,67
CBS-865,India,2020,Ransomware,Healthcare,10.5,32616,Unknown,Unpatched Software,Firewall,63
CBS-866,Australia,2017,Phishing,Healthcare,39.3,290846,Unknown,Weak Passwords,Firewall,3
CBS-867,India,2023,DDoS,Banking,23.8,557428,Insider,Unpatched Software,VPN,38
CBS-868,Japan,2015,DDoS,Banking,59.1,182440,Insider,Zero-day,Firewall,8
CBS-869,Australia,2021,DDoS,Government,30.2,292383,Insider,Social Engineering,Encryption,71
CBS-870,France,2017,DDoS,Government,86.8,99728,Nation-state,Unpatched Software,VPN,44
CBS-871,USA,2015,DDoS,IT,66.4,365006,Insider,Weak Passwords,VPN,47
CBS-872,Russia,2019,Ransomware,Telecommunications,61.1,605427,Nation-state,Zero-day,Encryption,33
CBS-873,USA,2022,Malware,Retail,7.7,864358,Hacker Group,Unpatched Software,VPN,11
CBS-874,USA,2016,Ransomware,Retail,9.8,610968,Unknown,Unpatched Software,Antivirus,26
CBS-875,China,2016,DDoS,IT,67.3,413150,Hacker Group,Social Engineering,Firewall,27
CBS-876,USA,2017,Malware,Education,13.1,681956,Nation-state,Social Engineering,Antivirus,35
CBS-877,Australia,2016,Man-in-the-Middle,IT,84.5,94162,Unknown,Weak Passwords,Firewall,15
CBS-878,France,2023,Man-in-the-Middle,Retail,9.4,565002,Hacker Group,Unpatched Software,Firewall,72
CBS-879,France,2017,Phishing,Retail,90.7,275185,Nation-state,Zero-day,Encryption,20
CBS-880,Russia,2021,DDoS,Retail,37.5,476758,Hacker Group,Unpatched Software,AI-based Detection,19
CBS-881,USA,2024,SQL Injection,Banking,7.2,312607,Hacker Group,Weak Passwords,Antivirus,24
CBS-882,Russia,2017,Phishing,Banking,94.2,963192,Hacker Group,Weak Passwords,VPN,7
CBS-883,Australia,2015,Malware,Healthcare,42.2,680874,Unknown,Zero-day,Antivirus,8
CBS-884,France,2018,DDoS,Government,15.7,904770,Hacker Group,Social Engineering,Antivirus,4
CBS-885,USA,2022,SQL Injection,Government,98.5,429452,Hacker Group,Weak Passwords,Antivirus,6
CBS-886,USA,2018,Ransomware,Healthcare,51.7,858128,Hacker Group,Social Engineering,Antivirus,35
CBS-887,China,2021,Malware,Education,42.3,615849,Nation-state,Unpatched Software,Encryption,44
CBS-888,UK,2019,Phishing,Education,99.5,467349,Nation-state,Zero-day,Firewall,44
CBS-889,France,2021,SQL Injection,Retail,63.7,235418,Nation-state,Weak Passwords,Encryption,28
CBS-890,Australia,2017,SQL Injection,IT,5.1,823606,Insider,Weak Passwords,Encryption,25
CBS-891,China,2020,SQL Injection,IT,89.4,923489,Nation-state,Unpatched Software,Firewall,66
CBS-892,USA,2024,Phishing,IT,58.6,630793,Hacker Group,Social Engineering,AI-based Detection,64
CBS-893,France,2015,SQL Injection,Education,65.8,691903,Unknown,Zero-day,VPN,54
CBS-894,UK,2019,Phishing,Government,79.8,133632,Hacker Group,Weak Passwords,Firewall,8
CBS-895,Australia,2017,Phishing,Banking,90.5,42278,Insider,Weak Passwords,AI-based Detection,45
CBS-896,Germany,2016,Phishing,IT,2.1,176471,Unknown,Zero-day,VPN,9
CBS-897,India,2015,SQL Injection,Telecommunications,63.7,916516,Hacker Group,Social Engineering,Encryption,68
CBS-898,Japan,2023,SQL Injection,Government,87.8,510002,Hacker Group,Social Engineering,Firewall,62
CBS-899,UK,2015,Malware,IT,82.5,435994,Nation-state,Unpatched Software,Encryption,51
CBS-900,India,2016,Ransomware,IT,66.2,537670,Hacker Group,Unpatched Software,Encryption,55
CBS-901,Russia,2022,Malware,Banking,39.6,850339,Hacker Group,Social Engineering,Firewall,50
CBS-902,Japan,2021,DDoS,Government,35.5,937562,Unknown,Zero-day,Firewall,10
CBS-903,France,2020,Malware,Government,10.6,405267,Nation-state,Unpatched Software,AI-based Detection,5
CBS-904,China,2022,DDoS,Government,80.8,346279,Unknown,Zero-day,Encryption,59
CBS-905,Brazil,2016,DDoS,Telecommunications,10.5,889928,Nation-state,Zero-day,Encryption,63
CBS-906,France,2018,SQL Injection,Healthcare,1.0,376206,Unknown,Unpatched Software,Antivirus,44
CBS-907,India,2018,Ransomware,IT,27.1,227433,Unknown,Unpatched Software,Antivirus,13
CBS-908,Germany,2023,Ransomware,Healthcare,54.8,393779,Nation-state,Weak Passwords,Encryption,39
CBS-909,Russia,2022,Ransomware,IT,41.1,529025,Insider,Unpatched Software,AI-based Detection,42
CBS-910,Brazil,2024,Man-in-the-Middle,Education,8.9,451311,Unknown,Weak Passwords,Encryption,14
CBS-911,India,2017,Ransomware,Education,98.1,677198,Unknown,Social Engineering,VPN,28
CBS-912,Russia,2024,Man-in-the-Middle,Healthcare,9.4,480988,Nation-state,Unpatched Software,Encryption,59
CBS-913,Australia,2015,Ransomware,Telecommunications,46.4,605536,Nation-state,Unpatched Software,VPN,61
CBS-914,Brazil,2018,Ransomware,Banking,30.6,910960,Nation-state,Social Engineering,Antivirus,31
CBS-915,China,2018,Ransomware,Banking,44.0,386308,Nation-state,Weak Passwords,Antivirus,3
CBS-916,Australia,2017,Man-in-the-Middle,Banking,54.4,100855,Unknown,Social Engineering,VPN,2
CBS-917,China,2023,Malware,Education,23.7,317922,Insider,Social Engineering,Antivirus,18
CBS-918,USA,2018,DDoS,IT,82.1,220618,Unknown,Weak Passwords,Firewall,59
CBS-919,India,2015,Ransomware,Telecommunications,24.7,825941,Hacker Group,Unpatched Software,VPN,54
CBS-920,China,2022,Malware,Education,60.9,331234,Unknown,Social Engineering,Antivirus,3
CBS-921,China,2020,Man-in-the-Middle,Telecommunications,14.6,855055,Hacker Group,Unpatched Software,Antivirus,59
CBS-922,Japan,2022,DDoS,Telecommunications,34.3,305329,Unknown,Unpatched Software,Firewall,40
CBS-923,Japan,2020,Phishing,Government,32.4,442923,Nation-state,Social Engineering,Encryption,57
CBS-924,UK,2015,Ransomware,Banking,79.3,893277,Unknown,Social Engineering,Firewall,15
CBS-925,China,2020,Malware,Healthcare,30.9,240532,Insider,Weak Passwords,Encryption,64
CBS-926,USA,2016,DDoS,Healthcare,93.1,947960,Nation-state,Weak Passwords,Firewall,55
CBS-927,Brazil,2018,Malware,Healthcare,52.9,437283,Insider,Zero-day,Antivirus,30
CBS-928,China,2019,Malware,Healthcare,29.6,761390,Insider,Weak Passwords,Antivirus,7
CBS-929,France,2019,Phishing,Retail,25.8,998507,Insider,Weak Passwords,AI-based Detection,15
CBS-930,India,2017,DDoS,Retail,82.2,593329,Hacker Group,Unpatched Software,AI-based Detection,62
CBS-931,UK,2019,Phishing,Banking,60.1,197590,Insider,Zero-day,Encryption,62
CBS-932,Japan,2017,Ransomware,Banking,50.8,53111,Hacker Group,Social Engineering,Antivirus,15
CBS-933,Australia,2017,Phishing,Retail,14.9,69641,Hacker Group,Unpatched Software,Firewall,54
CBS-934,Germany,2022,DDoS,IT,74.0,953770,Insider,Weak Passwords,Firewall,54
CBS-935,Japan,2023,SQL Injection,Retail,42.3,643549,Nation-state,Weak Passwords,VPN,20
CBS-936,Brazil,2022,Man-in-the-Middle,Education,78.0,899279,Insider,Zero-day,Firewall,39
CBS-937,India,2016,Ransomware,Education,8.6,857887,Unknown,Social Engineering,Firewall,44
CBS-938,Russia,2016,Phishing,Government,30.6,503775,Unknown,Zero-day,VPN,71
CBS-939,Japan,2015,SQL Injection,IT,37.0,452892,Unknown,Weak Passwords,VPN,17
CBS-940,Russia,2018,Ransomware,Healthcare,24.1,327566,Unknown,Unpatched Software,AI-based Detection,6
CBS-941,Australia,2018,Ransomware,Education,50.7,851204,Insider,Zero-day,Firewall,3
CBS-942,UK,2017,Man-in-the-Middle,Government,79.3,923309,Hacker Group,Unpatched Software,Firewall,29
CBS-943,Brazil,2023,Phishing,Banking,71.9,151590,Nation-state,Zero-day,Antivirus,30
CBS-944,UK,2022,DDoS,Education,21.0,452432,Nation-state,Unpatched Software,Firewall,8
CBS-945,Japan,2015,Ransomware,Retail,95.4,769596,Nation-state,Weak Passwords,VPN,65
CBS-946,Germany,2022,Phishing,Banking,14.8,407151,Unknown,Weak Passwords,Antivirus,37
CBS-947,Brazil,2023,DDoS,IT,46.0,312555,Nation-state,Social Engineering,AI-based Detection,67
CBS-948,Brazil,2019,Man-in-the-Middle,Government,76.4,311908,Unknown,Weak Passwords,Encryption,68
CBS-949,China,2018,Malware,Banking,68.6,59979,Insider,Zero-day,Firewall,41
CBS-950,Japan,2019,Malware,IT,9.9,233545,Unknown,Zero-day,Antivirus,55
CBS-951,France,2020,Man-in-the-Middle,Retail,89.9,722081,Hacker Group,Zero-day,VPN,33
CBS-952,Russia,2024,SQL Injection,Healthcare,77.0,873037,Nation-state,Unpatched Software,Antivirus,31
CBS-953,India,2022,Malware,IT,12.1,482213,Nation-state,Social Engineering,AI-based Detection,3
CBS-954,India,2020,Phishing,Education,39.7,512850,Hacker Group,Zero-day,Antivirus,15
CBS-955,China,2023,Man-in-the-Middle,Telecommunications,37.7,849834,Hacker Group,Zero-day,AI-based Detection,56
CBS-956,Brazil,2022,Malware,Retail,78.0,660707,Insider,Unpatched Software,Firewall,11
CBS-957,USA,2021,Ransomware,Education,6.8,697935,Unknown,Social Engineering,AI-based Detection,16
CBS-958,Russia,2019,Malware,IT,71.9,500655,Nation-state,Zero-day,AI-based Detection,8
CBS-959,USA,2020,Ransomware,IT,95.8,239343,Nation-state,Zero-day,VPN,63
CBS-960,China,2023,Phishing,Retail,90.0,143728,Unknown,Zero-day,AI-based Detection,57
CBS-961,USA,2020,Phishing,Retail,99.6,464717,Insider,Weak Passwords,VPN,27
CBS-962,Russia,2018,SQL Injection,Education,1.3,351063,Nation-state,Weak Passwords,Firewall,56
CBS-963,Australia,2015,DDoS,Government,14.0,479025,Nation-state,Zero-day,Antivirus,54
CBS-964,Germany,2021,DDoS,Banking,1.6,823004,Nation-state,Zero-day,Encryption,22
CBS-965,Russia,2021,DDoS,Education,18.5,394957,Hacker Group,Weak Passwords,Antivirus,27
CBS-966,France,2019,Phishing,Telecommunications,28.9,96640,Unknown,Social Engineering,Antivirus,60
CBS-967,Russia,2024,DDoS,Education,19.5,325634,Insider,Weak Passwords,Firewall,5
CBS-968,France,2023,SQL Injection,Government,29.6,662667,Hacker Group,Zero-day,VPN,30
CBS-969,USA,2024,Phishing,IT,57.2,107681,Unknown,Zero-day,VPN,18
CBS-970,Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6
