ID,Company Name,Job Title,Level,Location,City,State,Company Size (By Category),Company Size,Min Company Size,Max Company Size,Industry,Rating,Salary Estimate,Min Salary,Max Salary,Avg Salary
487,Fox Corporation,Data Analyst,Senior,"Los Angeles, CA",Los Angeles,CA,Large,5001–10000,5001,10000,Media/Advertising,4.0,$57K-$103K,57000,103000,80000
488,Pubg Santa Monica,Business Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Medium,501–1000,501,1000,Technology,4.5,$57K-$103K,57000,103000,80000
489,Ucla Health,Healthcare/Clinical Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Large,5001–10000,5001,10000,Healthcare,4.0,$57K-$103K,57000,103000,80000
490,Robert Half,Senior Data Analyst,Senior,"Los Angeles, CA",Los Angeles,CA,Enterprise,10000+,10000,10000,Professional Services,3.5,$57K-$103K,57000,103000,80000
491,Activision Blizzard,Data Analyst,Mid,"El Segundo, CA",El Segundo,CA,Enterprise,10000+,10000,10000,Technology,3.4,$57K-$103K,57000,103000,80000
492,The Loot Company,BI Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Medium,201–500,201,500,Retail,2.1,$57K-$103K,57000,103000,80000
493,System1,Operations/Supply Chain Analyst,Senior,"Venice, CA",Venice,CA,Medium,201–500,201,500,Technology,3.8,$57K-$103K,57000,103000,80000
494,"Staffigo Technical Services, Llc",Junior Data Analyst,Junior,"Los Angeles, CA",Los Angeles,CA,Small,51–200,51,200,Technology,5.0,$35K-$45K,35000,45000,40000
495,Kaiser Permanente,Senior Data Analyst,Senior,"Pasadena, CA",Pasadena,CA,Enterprise,10000+,10000,10000,Healthcare,4.0,$35K-$45K,35000,45000,40000
496,Zs Associates,Senior Data Analyst,Senior,"Los Angeles, CA",Los Angeles,CA,Large,5001–10000,5001,10000,Professional Services,3.8,$35K-$45K,35000,45000,40000
497,Tecolote Research,Financial Data Analyst,Mid,"El Segundo, CA",El Segundo,CA,Medium,501–1000,501,1000,Government,3.8,$35K-$45K,35000,45000,40000
498,City National Bank,Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Large,1001–5000,1001,5000,Financial,3.6,$35K-$45K,35000,45000,40000
499,Cypress Hcm,Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Small,51–200,51,200,Professional Services,4.9,$35K-$45K,35000,45000,40000
500,City National Bank,Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Large,1001–5000,1001,5000,Financial,3.6,$35K-$45K,35000,45000,40000
501,"Internet Brands, Inc.",Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Large,1001–5000,1001,5000,Technology,3.4,$35K-$45K,35000,45000,40000
502,Kforce,Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Enterprise,10000+,10000,10000,Professional Services,4.1,$35K-$45K,35000,45000,40000
503,Turner Broadcasting,Data Governance Analyst,Mid,"Burbank, CA",Burbank,CA,Enterprise,10000+,10000,10000,Media/Advertising,3.7,$35K-$45K,35000,45000,40000
504,Molina Healthcare,Technical Data Analyst,Mid,"Long Beach, CA",Long Beach,CA,Enterprise,10000+,10000,10000,Financial,3.1,$35K-$45K,35000,45000,40000
505,Beautycounter,Senior Data Analyst,Senior,"Santa Monica, CA",Santa Monica,CA,Medium,201–500,201,500,Healthcare,3.0,$35K-$45K,35000,45000,40000
506,Genuent,Data Quality Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Medium,201–500,201,500,Professional Services,3.5,$35K-$45K,35000,45000,40000
507,Ibm,Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Enterprise,10000+,10000,10000,Technology,3.7,$35K-$45K,35000,45000,40000
508,The Wonderful Company Llc,Marketing Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Large,5001–10000,5001,10000,Manufacturing,3.6,$35K-$45K,35000,45000,40000
509,Akraya Inc.,Data Analyst,Senior,"Los Angeles, CA",Los Angeles,CA,Small,51–200,51,200,Professional Services,4.6,$35K-$45K,35000,45000,40000
510,Tiktok,Senior Data Analyst,Senior,"Los Angeles, CA",Los Angeles,CA,Large,1001–5000,1001,5000,Technology,3.8,$35K-$45K,35000,45000,40000
511,Motortrend Group,Data Analyst,Mid,"El Segundo, CA",El Segundo,CA,Medium,501–1000,501,1000,Media/Advertising,2.7,$35K-$45K,35000,45000,40000
512,Mercury Insurance Group,Data Analyst,Mid,"Brea, CA",Brea,CA,Large,1001–5000,1001,5000,Financial,3.4,$35K-$45K,35000,45000,40000
513,Molina Healthcare,Senior Data Analyst,Senior,"Long Beach, CA",Long Beach,CA,Enterprise,10000+,10000,10000,Financial,3.1,$35K-$45K,35000,45000,40000
514,Tripalink,Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Small,1–50,1,50,Real Estate,3.7,$42K-$66K,42000,66000,54000
515,Ajilon,Data Analyst,Mid,"Woodland Hills, CA",Woodland Hills,CA,Large,1001–5000,1001,5000,Professional Services,3.6,$42K-$66K,42000,66000,54000
516,Prosum,Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Medium,201–500,201,500,Technology,4.0,$42K-$66K,42000,66000,54000
517,Saicon Consultants Inc,Senior Data Analyst,Senior,"Burbank, CA",Burbank,CA,Medium,201–500,201,500,Technology,3.3,$42K-$66K,42000,66000,54000
518,"Prime Mso, Llc.",Junior Data Analyst,Junior,"Glendale, CA",Glendale,CA,Small,1–50,1,50,Healthcare,4.0,$42K-$66K,42000,66000,54000
519,Kore1 Technologies,Senior Data Analyst,Senior,"Santa Monica, CA",Santa Monica,CA,Small,51–200,51,200,Professional Services,4.9,$42K-$66K,42000,66000,54000
520,Axelon Services Corporation,Data Reporting Analyst,Mid,"Pasadena, CA",Pasadena,CA,Medium,501–1000,501,1000,Professional Services,3.6,$42K-$66K,42000,66000,54000
521,City National Corporation,Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Large,1001–5000,1001,5000,Financial,3.6,$42K-$66K,42000,66000,54000
522,Pddn,Senior Data Analyst,Senior,"Pasadena, CA",Pasadena,CA,Small,51–200,51,200,Healthcare,5.0,$42K-$66K,42000,66000,54000
523,Northrop Grumman,Senior Data Analyst,Senior,"Woodland Hills, CA",Woodland Hills,CA,Enterprise,10000+,10000,10000,Government,3.8,$42K-$66K,42000,66000,54000
524,"Consultnet, Llc",Data Analyst,Senior,"Burbank, CA",Burbank,CA,Medium,201–500,201,500,Professional Services,4.3,$42K-$66K,42000,66000,54000
525,"Aviana Global Technologies, Inc",Senior Data Analyst,Senior,"Los Angeles, CA",Los Angeles,CA,Small,1–50,1,50,Technology,4.2,$42K-$66K,42000,66000,54000
526,Jam City,Data Analyst,Mid,"Culver City, CA",Culver City,CA,Medium,501–1000,501,1000,Technology,3.9,$42K-$66K,42000,66000,54000
527,Apple,Data Analyst,Mid,"Culver City, CA",Culver City,CA,Enterprise,10000+,10000,10000,Technology,4.1,$42K-$66K,42000,66000,54000
528,"Eminent, Inc.",BI Data Analyst,Mid,"Cerritos, CA",Cerritos,CA,Small,1–50,1,50,Technology,3.4,$42K-$66K,42000,66000,54000
529,Dollar Shave Club,Senior Data Analyst,Senior,"Marina del Rey, CA",Marina del Rey,CA,Medium,201–500,201,500,Retail,3.8,$42K-$66K,42000,66000,54000
530,Tiktok,Senior Data Analyst,Senior,"Culver City, CA",Culver City,CA,Large,1001–5000,1001,5000,Technology,3.8,$42K-$66K,42000,66000,54000
531,City National Bank,Data Analyst,Mid,"Beverly Hills, CA",Beverly Hills,CA,Large,1001–5000,1001,5000,Financial,3.6,$42K-$66K,42000,66000,54000
532,"U.S. Auto Parts Network, Inc.",Data Analyst,Mid,"Torrance, CA",Torrance,CA,Large,1001–5000,1001,5000,Retail,3.4,$42K-$66K,42000,66000,54000
533,Mylife.Com,Senior Data Analyst,Senior,"Los Angeles, CA",Los Angeles,CA,Small,1–50,1,50,Technology,3.1,$42K-$66K,42000,66000,54000
534,Molina Healthcare,Data Analyst,Mid,"Long Beach, CA",Long Beach,CA,Enterprise,10000+,10000,10000,Financial,3.1,$42K-$66K,42000,66000,54000
535,Disqo,Data Analyst,Senior,"Glendale, CA",Glendale,CA,Small,51–200,51,200,Research,4.7,$65K-$81K,65000,81000,73000
536,Tech Air,Junior Data Analyst,Junior,"Long Beach, CA",Long Beach,CA,Medium,201–500,201,500,Manufacturing,3.9,$65K-$81K,65000,81000,73000
537,Network Medical Management Inc,Data Analyst,Senior,"Alhambra, CA",Alhambra,CA,Medium,501–1000,501,1000,Healthcare,2.5,$65K-$81K,65000,81000,73000
538,Midcom,Data Analyst,Mid,"Azusa, CA",Azusa,CA,Small,51–200,51,200,Professional Services,3.5,$65K-$81K,65000,81000,73000
539,Odesus,Data Analyst,Mid,"Burbank, CA",Burbank,CA,Small,51–200,51,200,Professional Services,3.8,$65K-$81K,65000,81000,73000
540,Login Consulting Services,Junior Data Analyst,Junior,"El Segundo, CA",El Segundo,CA,Small,51–200,51,200,Professional Services,3.8,$65K-$81K,65000,81000,73000
541,Unilever,Senior Data Analyst,Senior,"Marina del Rey, CA",Marina del Rey,CA,Enterprise,10000+,10000,10000,Manufacturing,4.0,$65K-$81K,65000,81000,73000
542,Blue Shield Of California,Data Analyst,Mid,"Woodland Hills, CA",Woodland Hills,CA,Large,5001–10000,5001,10000,Financial,4.1,$65K-$81K,65000,81000,73000
543,Airgas,Junior Data Analyst,Junior,"Long Beach, CA",Long Beach,CA,Enterprise,10000+,10000,10000,Manufacturing,3.8,$65K-$81K,65000,81000,73000
544,Apollo Global Management,Data Reporting Analyst,Mid,"El Segundo, CA",El Segundo,CA,Large,1001–5000,1001,5000,Financial,3.0,$65K-$81K,65000,81000,73000
545,Revolve,Data Analyst,Mid,"Cerritos, CA",Cerritos,CA,Medium,201–500,201,500,Retail,3.3,$65K-$81K,65000,81000,73000
546,Kipp Socal Public Schools,Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Large,1001–5000,1001,5000,Education,3.3,$65K-$81K,65000,81000,73000
547,Genuent,Data Quality Analyst,Mid,"Glendale, CA",Glendale,CA,Medium,201–500,201,500,Professional Services,3.5,$65K-$81K,65000,81000,73000
548,Apollo Global Management,Senior Data Analyst,Senior,"El Segundo, CA",El Segundo,CA,Large,1001–5000,1001,5000,Financial,3.0,$65K-$81K,65000,81000,73000
549,Scan Health Plan,Data Analyst,Mid,"Long Beach, CA",Long Beach,CA,Medium,501–1000,501,1000,Financial,3.2,$65K-$81K,65000,81000,73000
550,Playq,Data Analyst,Senior,"Santa Monica, CA",Santa Monica,CA,Small,51–200,51,200,Technology,4.7,$65K-$81K,65000,81000,73000
551,Molina Healthcare,Data Analyst,Senior,"Long Beach, CA",Long Beach,CA,Enterprise,10000+,10000,10000,Financial,3.1,$65K-$81K,65000,81000,73000
552,"Netsource, Inc.",Data Analyst,Mid,"Los Angeles, CA",Los Angeles,CA,Small,51–200,51,200,Manufacturing,2.5,$65K-$81K,65000,81000,73000
553,"Quinn Group, Inc.",Operations/Supply Chain Analyst,Mid,"City of Industry, CA",City of Industry,CA,Medium,501–1000,501,1000,Other Industries,3.3,$65K-$81K,65000,81000,73000
554,Pacific Clinics,Data Analyst,Mid,"Arcadia, CA",Arcadia,CA,Medium,501–1000,501,1000,Healthcare,2.9,$113K-$132K,113000,132000,122500
555,Labine & Associates,Senior Data Analyst,Senior,"Santa Monica, CA",Santa Monica,CA,Small,1–50,1,50,Professional Services,5.0,$113K-$132K,113000,132000,122500
556,Quinn Company Cat,Operations/Supply Chain Analyst,Mid,"City of Industry, CA",City of Industry,CA,Medium,501–1000,501,1000,Other Industries,3.3,$113K-$132K,113000,132000,122500
557,"Ntt Data, Inc.",Data Analyst,Mid,"Burbank, CA",Burbank,CA,Medium,201–500,201,500,Professional Services,2.9,$113K-$132K,113000,132000,122500
558,Scan Health Plan,Data Analyst,Mid,"Long Beach, CA",Long Beach,CA,Medium,501–1000,501,1000,Financial,3.2,$113K-$132K,113000,132000,122500
559,Appleone,Data Analyst,Mid,"Woodland Hills, CA",Woodland Hills,CA,Large,1001–5000,1001,5000,Professional Services,3.3,$113K-$132K,113000,132000,122500
560,Login Consulting Services,Senior Data Analyst,Senior,"El Segundo, CA",El Segundo,CA,Small,51–200,51,200,Professional Services,3.8,$113K-$132K,113000,132000,122500
561,Lorven Technologies Inc,Data Analyst,Senior,"Arcadia, CA",Arcadia,CA,Small,1–50,1,50,Professional Services,4.0,$113K-$132K,113000,132000,122500
562,Blue Shield Of California,Data Analyst,Senior,"Woodland Hills, CA",Woodland Hills,CA,Large,5001–10000,5001,10000,Financial,4.1,$113K-$132K,113000,132000,122500
563,Information Technology Partners,Financial Data Analyst,Mid,"Burbank, CA",Burbank,CA,Small,51–200,51,200,Technology,2.8,$113K-$132K,113000,132000,122500
564,Warner Bros. Entertainment,Data Analyst,Mid,"Burbank, CA",Burbank,CA,Large,5001–10000,5001,10000,Media/Advertising,3.9,$113K-$132K,113000,132000,122500
565,Providence Health & Services,Data Analyst,Senior,"Gardena, CA",Gardena,CA,Enterprise,10000+,10000,10000,Healthcare,3.4,$113K-$132K,113000,132000,122500
566,Molina Healthcare,Senior Data Analyst,Senior,"Long Beach, CA",Long Beach,CA,Enterprise,10000+,10000,10000,Financial,3.1,$113K-$132K,113000,132000,122500
567,Molina Healthcare,Senior Data Analyst,Senior,"Long Beach, CA",Long Beach,CA,Enterprise,10000+,10000,10000,Financial,3.1,$113K-$132K,113000,132000,122500
568,Turner Broadcasting,Financial Data Analyst,Mid,"Burbank, CA",Burbank,CA,Enterprise,10000+,10000,10000,Media/Advertising,3.7,$113K-$132K,113000,132000,122500
569,Appleone,Data Analyst,Mid,"Woodland Hills, CA",Woodland Hills,CA,Large,1001–5000,1001,5000,Professional Services,3.3,$113K-$132K,113000,132000,122500
570,Usdm Life Sciences,Data Analyst,Mid,"Santa Monica, CA",Santa Monica,CA,Medium,201–500,201,500,Professional Services,4.6,$113K-$132K,113000,132000,122500
571,Skillsetgroup - Professional Staffing Solutions,Data Analyst,Mid,"Pico Rivera, CA",Pico Rivera,CA,Small,1–50,1,50,Professional Services,2.9,$113K-$132K,113000,132000,122500
572,Pih Health,Data Analyst,Mid,"Whittier, CA",Whittier,CA,Large,5001–10000,5001,10000,Healthcare,3.6,$113K-$132K,113000,132000,122500
573,Tiktok,Senior Data Analyst,Senior,"Los Angeles, CA",Los Angeles,CA,Large,1001–5000,1001,5000,Technology,3.8,$113K-$132K,113000,132000,122500
574,Mercury Insurance Group,Data Analyst,Mid,"Brea, CA",Brea,CA,Large,1001–5000,1001,5000,Financial,3.4,$113K-$132K,113000,132000,122500
575,Wintrust Financial,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Financial,3.9,$60K-$66K,60000,66000,63000
576,Ncsa - Next College Student Athlete,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,501–1000,501,1000,Other Industries,3.7,$60K-$66K,60000,66000,63000
577,Riskonnect,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,201–500,201,500,Technology,3.7,$60K-$66K,60000,66000,63000
578,Centric Consulting,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,501–1000,501,1000,Professional Services,5.0,$60K-$66K,60000,66000,63000
579,Gohealth,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,501–1000,501,1000,Healthcare,3.2,$60K-$66K,60000,66000,63000
580,Kelly,Junior Data Analyst,Junior,"Downers Grove, IL",Downers Grove,IL,Large,5001–10000,5001,10000,Professional Services,3.4,$60K-$66K,60000,66000,63000
581,Kelly,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Large,5001–10000,5001,10000,Professional Services,3.4,$60K-$66K,60000,66000,63000
582,Undertone,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,201–500,201,500,Media/Advertising,3.8,$60K-$66K,60000,66000,63000
583,Mike'S Hard Lemonade,Business Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,201–500,201,500,Manufacturing,2.8,$60K-$66K,60000,66000,63000
584,Allscripts,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Large,5001–10000,5001,10000,Technology,3.3,$60K-$66K,60000,66000,63000
585,Circle Logistics,Junior Data Analyst,Junior,"Chicago, IL",Chicago,IL,Medium,201–500,201,500,Other Industries,3.7,$60K-$66K,60000,66000,63000
586,University Of Chicago,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Education,4.0,$60K-$66K,60000,66000,63000
587,Mondo,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Professional Services,3.9,$60K-$66K,60000,66000,63000
588,Swoon,Junior Data Analyst,Junior,"Downers Grove, IL",Downers Grove,IL,Medium,201–500,201,500,Professional Services,4.6,$60K-$66K,60000,66000,63000
589,Swoon,Data Analyst,Mid,"Downers Grove, IL",Downers Grove,IL,Medium,201–500,201,500,Professional Services,4.6,$60K-$66K,60000,66000,63000
590,Bosch Group,Junior Data Analyst,Mid,"Broadview, IL",Broadview,IL,Enterprise,10000+,10000,10000,Manufacturing,4.1,$60K-$66K,60000,66000,63000
591,Tempus,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Financial,3.3,$60K-$66K,60000,66000,63000
592,Feeding America,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Social Services,3.3,$60K-$66K,60000,66000,63000
593,Crs Group,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Professional Services,4.7,$60K-$66K,60000,66000,63000
594,Peterson Technology Partners,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,201–500,201,500,Technology,4.3,$60K-$66K,60000,66000,63000
595,Bmo,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Financial,3.2,$60K-$66K,60000,66000,63000
596,Appleone,Data Analyst,Mid,"Downers Grove, IL",Downers Grove,IL,Large,1001–5000,1001,5000,Professional Services,3.3,$60K-$66K,60000,66000,63000
597,Robert Bosch Tool Corporation,Data Analyst,Mid,"Broadview, IL",Broadview,IL,Large,1001–5000,1001,5000,Manufacturing,3.1,$60K-$66K,60000,66000,63000
598,Chicago Public Schools,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Education,3.5,$60K-$66K,60000,66000,63000
599,Chicago,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Government,3.3,$60K-$66K,60000,66000,63000
600,Guggenheim Partners,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Financial,3.8,$60K-$66K,60000,66000,63000
601,Milliman,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Professional Services,3.8,$60K-$66K,60000,66000,63000
602,Bmo Financial Group,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Financial,3.7,$60K-$66K,60000,66000,63000
603,Bmo,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Financial,3.2,$60K-$66K,60000,66000,63000
604,Ust Global,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Technology,4.2,$73K-$82K,73000,82000,77500
605,First Stop Health,Data Analyst,Senior,"Chicago, IL",Chicago,IL,Small,1–50,1,50,Healthcare,4.6,$73K-$82K,73000,82000,77500
606,Meadwestvaco,Data Analyst,Mid,"Woodridge, IL",Woodridge,IL,Enterprise,10000+,10000,10000,Manufacturing,3.2,$73K-$82K,73000,82000,77500
607,Care Advisors Inc,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,1–50,1,50,Technology,3.5,$73K-$82K,73000,82000,77500
608,Ann & Robert H. Lurie Children'S Hospital Of Chicago,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Healthcare,3.7,$73K-$82K,73000,82000,77500
609,"Teksystems, Inc",Data Analyst,Mid,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Professional Services,3.9,$73K-$82K,73000,82000,77500
610,Hni,Senior Data Analyst,Senior,"Chicago, IL",Chicago,IL,Large,5001–10000,5001,10000,Manufacturing,3.4,$73K-$82K,73000,82000,77500
611,Skysource Solutions,Data Analyst,Mid,"Downers Grove, IL",Downers Grove,IL,Small,1–50,1,50,Professional Services,4.1,$73K-$82K,73000,82000,77500
612,"Staffigo Technical Services, Llc",Junior Data Analyst,Junior,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Technology,5.0,$73K-$82K,73000,82000,77500
613,Flexport,Senior Data Analyst,Senior,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Other Industries,3.5,$73K-$82K,73000,82000,77500
614,Randstad,Data Analyst,Mid,"Downers Grove, IL",Downers Grove,IL,Large,1001–5000,1001,5000,Professional Services,3.7,$73K-$82K,73000,82000,77500
615,Lantana Consulting Group,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,1–50,1,50,Professional Services,4.0,$73K-$82K,73000,82000,77500
616,"Level Ex, Inc.",Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Technology,3.6,$73K-$82K,73000,82000,77500
617,Chicago Teachers Pension Fund,Data Quality Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,201–500,201,500,Government,3.0,$73K-$82K,73000,82000,77500
618,Diverse Lynx,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,501–1000,501,1000,Technology,3.9,$73K-$82K,73000,82000,77500
619,"Staffigo Technical Services, Llc",Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Technology,5.0,$73K-$82K,73000,82000,77500
620,Crs Group,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Professional Services,4.7,$73K-$82K,73000,82000,77500
621,Chicago Public Schools,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Education,3.5,$73K-$82K,73000,82000,77500
622,Tempus Labs,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,501–1000,501,1000,Healthcare,3.2,$73K-$82K,73000,82000,77500
623,Viva Usa Inc,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Technology,4.6,$73K-$82K,73000,82000,77500
624,360Pi,Senior Data Analyst,Senior,"Chicago, IL",Chicago,IL,Small,1–50,1,50,Technology,4.2,$73K-$82K,73000,82000,77500
625,"Teksystems, Inc",Data Governance Analyst,Mid,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Professional Services,3.9,$73K-$82K,73000,82000,77500
626,Leap,Data Analyst,Senior,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Social Services,3.9,$73K-$82K,73000,82000,77500
627,Braviant Holdings,BI Data Analyst,Senior,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Financial,4.8,$73K-$82K,73000,82000,77500
628,Bartech Group,Data Analyst,Mid,"Burr Ridge, IL",Burr Ridge,IL,Small,51–200,51,200,Other Industries,-1.0,$67K-$92K,67000,92000,79500
629,Lorven Technologies Inc,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,1–50,1,50,Professional Services,4.0,$67K-$92K,67000,92000,79500
630,Rush University Medical Center,Healthcare/Clinical Analyst,Mid,"Chicago, IL",Chicago,IL,Large,5001–10000,5001,10000,Healthcare,3.9,$67K-$92K,67000,92000,79500
631,Techusa,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Professional Services,2.7,$67K-$92K,67000,92000,79500
632,Alliant Credit Union,Data Analyst,Mid,"Rolling Meadows, IL",Rolling Meadows,IL,Medium,501–1000,501,1000,Financial,3.4,$67K-$92K,67000,92000,79500
633,Green Key Resources,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,201–500,201,500,Professional Services,4.5,$67K-$92K,67000,92000,79500
634,University Of Chicago,Senior Data Analyst,Senior,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Education,4.0,$67K-$92K,67000,92000,79500
635,Roig Lawyers,Data Analyst,Mid,"Deerfield, IL",Deerfield,IL,Medium,201–500,201,500,Professional Services,4.0,$67K-$92K,67000,92000,79500
636,"Privatebancorp, Inc.",Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Financial,3.2,$67K-$92K,67000,92000,79500
637,Pdi Software,Operations/Supply Chain Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,501–1000,501,1000,Technology,3.2,$67K-$92K,67000,92000,79500
638,Talentdash,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,1–50,1,50,Technology,-1.0,$67K-$92K,67000,92000,79500
639,Invenergy,Operations/Supply Chain Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,501–1000,501,1000,Other Industries,3.8,$67K-$92K,67000,92000,79500
640,Ey,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Professional Services,3.8,$67K-$92K,67000,92000,79500
641,Win Home Inspection,Business Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,1–50,1,50,Other Industries,3.9,$67K-$92K,67000,92000,79500
642,Ferrara Candy Company,Senior Data Analyst,Senior,"Chicago, IL",Chicago,IL,Large,5001–10000,5001,10000,Manufacturing,3.5,$67K-$92K,67000,92000,79500
643,The Accuro Group,BI Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,201–500,201,500,Professional Services,3.0,$67K-$92K,67000,92000,79500
644,Bdp International,Data Quality Analyst,Mid,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Other Industries,3.0,$67K-$92K,67000,92000,79500
645,Numerator,Data Analyst,Senior,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Technology,3.9,$67K-$92K,67000,92000,79500
646,Mondo,Data Analyst,Senior,"Chicago, IL",Chicago,IL,Small,51–200,51,200,Professional Services,3.9,$67K-$92K,67000,92000,79500
647,Empire Today,Data Analyst,Mid,"Northlake, IL",Northlake,IL,Large,1001–5000,1001,5000,Retail,3.7,$67K-$92K,67000,92000,79500
648,"Fast Switch, Ltd",Data Analyst,Mid,"Northbrook, IL",Northbrook,IL,Medium,501–1000,501,1000,Technology,4.3,$67K-$92K,67000,92000,79500
649,Sphinix Solutions,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Small,1–50,1,50,Technology,1.0,$67K-$92K,67000,92000,79500
650,Bmo Financial Group,Data Reporting Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Financial,3.7,$67K-$92K,67000,92000,79500
651,Epiq Systems,Senior Data Analyst,Senior,"Chicago, IL",Chicago,IL,Large,5001–10000,5001,10000,Professional Services,3.6,$67K-$92K,67000,92000,79500
652,Peak6 Investments,Senior Data Analyst,Senior,"Chicago, IL",Chicago,IL,Large,1001–5000,1001,5000,Financial,2.9,$67K-$92K,67000,92000,79500
653,Abs Graphics,Technical Data Analyst,Mid,"Itasca, IL",Itasca,IL,Small,51–200,51,200,Media/Advertising,2.5,$67K-$92K,67000,92000,79500
654,Willis Towers Watson,Business Data Analyst,Mid,"Chicago, IL",Chicago,IL,Enterprise,10000+,10000,10000,Professional Services,3.6,$42K-$76K,42000,76000,59000
655,Kforce,Data Analyst,Mid,"Evanston, IL",Evanston,IL,Enterprise,10000+,10000,10000,Professional Services,4.1,$42K-$76K,42000,76000,59000
656,The Chicago Lighthouse,Data Analyst,Mid,"Chicago, IL",Chicago,IL,Medium,501–1000,501,1000,Social Services,3.3,$42K-$76K,42000,76000,59000
657,Genesys Talent,Data Analyst,Mid,"Northbrook, IL",Northbrook,IL,Small,1–50,1,50,Professional Services,4.8,$42K-$76K,42000,76000,59000
